Date,S&P 500
5/4/28,20.24
5/7/28,20.41
5/8/28,20.27
5/9/28,20.24
5/10/28,20.21
5/11/28,20.36
5/14/28,20.44
5/15/28,20.39
5/16/28,20.05
5/17/28,20.12
5/18/28,19.92
5/21/28,19.63
5/22/28,19.36
5/23/28,19.75
5/24/28,19.87
5/25/28,19.9
5/28/28,19.57
5/29/28,19.82
5/31/28,20
6/1/28,20.07
6/2/28,20.22
6/4/28,19.8
6/5/28,19.85
6/6/28,19.66
6/7/28,19.61
6/8/28,19.37
6/9/28,19.12
6/11/28,18.68
6/12/28,18.34
6/13/28,18.89
6/14/28,19.05
6/15/28,18.74
6/16/28,18.75
6/18/28,18.4
6/19/28,18.34
6/20/28,18.57
6/21/28,18.56
6/22/28,18.54
6/23/28,18.46
6/25/28,18.47
6/26/28,18.68
6/27/28,18.86
6/28/28,19.07
6/29/28,19.14
6/30/28,19.19
7/2/28,18.98
7/3/28,19.29
7/5/28,19.48
7/6/28,19.39
7/7/28,19.44
7/9/28,19.46
7/10/28,19.43
7/11/28,18.95
7/12/28,18.81
7/13/28,18.96
7/14/28,18.93
7/16/28,18.7
7/17/28,18.8
7/18/28,19.03
7/19/28,18.99
7/20/28,19.03
7/21/28,18.96
7/23/28,19.12
7/24/28,19.09
7/25/28,19.2
7/26/28,19.24
7/27/28,19.42
7/28/28,19.47
7/30/28,19.47
7/31/28,19.43
8/1/28,19.42
8/2/28,19.33
8/3/28,19.36
8/4/28,19.41
8/6/28,19.58
8/7/28,19.49
8/8/28,19.25
8/9/28,19.3
8/10/28,19.25
8/11/28,19.3
8/13/28,19.29
8/14/28,19.13
8/15/28,19.47
8/16/28,19.61
8/17/28,19.64
8/18/28,19.71
8/20/28,19.77
8/21/28,20.02
8/22/28,20
8/23/28,20.02
8/24/28,20.34
8/25/28,20.45
8/27/28,20.38
8/28/28,20.54
8/29/28,20.58
8/30/28,20.61
8/31/28,20.87
9/1/28,20.87
9/4/28,20.97
9/5/28,21.07
9/6/28,20.94
9/7/28,21.09
9/8/28,21.03
9/10/28,20.92
9/11/28,21.08
9/12/28,21.16
9/13/28,21.14
9/14/28,21.14
